"QB","RB","RB","WR","WR","WR","TE","FLEX","DEF","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","39577-24920:Devonta Freeman","39577-24920","RB","Devonta","Devonta Freeman","Freeman","11.400000435965401","7","6200","SEA@ATL","ATL","SEA","","","","",""
"","","","","","","","","","","39577-34331:Latavius Murray","39577-34331","RB","Latavius","Latavius Murray","Murray","8.642857142857142","7","6200","ARI@NO","NO","ARI","","","","",""
"","","","","","","","","","","39577-26251:Robby Anderson","39577-26251","WR","Robby","Robby Anderson","Anderson","6.849999745686849","6","6200","NYJ@JAC","NYJ","JAC","","","","",""
"","","","","","","","","","","39577-83081:Chase Edmonds","39577-83081","RB","Chase","Chase Edmonds","Edmonds","10.528570992606026","7","6100","ARI@NO","ARI","NO","","","","",""
"","","","","","","","","","","39577-11485:Golden Tate","39577-11485","WR","Golden","Golden Tate","Tate","11","3","6100","NYG@DET","NYG","DET","","","","",""
"","","","","","","","","","","39577-32234:Malcolm Brown","39577-32234","RB","Malcolm","Malcolm Brown","Brown","4.816666603088379","6","6100","CIN@LAR","LAR","CIN","O","Ankle","","",""
"","","","","","","","","","","39577-28473:Carlos Hyde","39577-28473","RB","Carlos","Carlos Hyde","Hyde","9.614286150251116","7","6100","OAK@HOU","HOU","OAK","","","","",""
"","","","","","","","","","","39577-57299:Gerald Everett","39577-57299","TE","Gerald","Gerald Everett","Everett","7.4571429661342075","7","6100","CIN@LAR","LAR","CIN","","","","",""
"","","","","","","","","","","39577-24607:Chad Kelly","39577-24607","QB","Chad","Chad Kelly","Kelly","-0.10000000149011612","1","6000","DEN@IND","IND","DEN","","","","",""
"","","","","","","","","","","39577-14377:Tyrod Taylor","39577-14377","QB","Tyrod","Tyrod Taylor","Taylor","0.09000000357627869","2","6000","LAC@CHI","LAC","CHI","","","","",""
"","","","","","","","","","","39577-57403:Courtland Sutton","39577-57403","WR","Courtland","Courtland Sutton","Sutton","13.200000217982701","7","6000","DEN@IND","DEN","IND","","","","",""
"","","","","","","","","","","39577-30788:Tyler Bray","39577-30788","QB","Tyler","Tyler Bray","Bray","0","0","6000","LAC@CHI","CHI","LAC","","","","",""
"","","","","","","","","","","39577-52342:Will Grier","39577-52342","QB","Will","Will Grier","Grier","0","0","6000","CAR@SF","CAR","SF","","","","",""
"","","","","","","","","","","39577-83079:Kyle Lauletta","39577-83079","QB","Kyle","Kyle Lauletta","Lauletta","-1.2000000476837158","1","6000","PHI@BUF","PHI","BUF","","","","",""
"","","","","","","","","","","39577-27801:Nate Sudfeld","39577-27801","QB","Nate","Nate Sudfeld","Sudfeld","2.3399999141693115","2","6000","PHI@BUF","PHI","BUF","","","","",""
"","","","","","","","","","","39577-42142:Jordan Howard","39577-42142","RB","Jordan","Jordan Howard","Howard","10.571428571428571","7","6000","PHI@BUF","PHI","BUF","","","","",""
"","","","","","","","","","","39577-57537:DeShone Kizer","39577-57537","QB","DeShone","DeShone Kizer","Kizer","2.4600000381469727","3","6000","OAK@HOU","OAK","HOU","","","","",""
"","","","","","","","","","","39577-45259:Logan Woodside","39577-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","TB@TEN","TEN","TB","","","","",""
"","","","","","","","","","","39577-52442:Joe Mixon","39577-52442","RB","Joe","Joe Mixon","Mixon","7.828571319580078","7","6000","CIN@LAR","CIN","LAR","","","","",""
"","","","","","","","","","","39577-29915:Brett Hundley","39577-29915","QB","Brett","Brett Hundley","Hundley","0","0","6000","ARI@NO","ARI","NO","","","","",""
"","","","","","","","","","","39577-28930:James White","39577-28930","RB","James","James White","White","9.916666666666666","6","6000","CLE@NE","NE","CLE","","","","",""
"","","","","","","","","","","39577-31047:AJ McCarron","39577-31047","QB","AJ","AJ McCarron","McCarron","0.05999999865889549","2","6000","OAK@HOU","HOU","OAK","","","","",""
"","","","","","","","","","","39577-27986:C.J. Beathard","39577-27986","QB","C.J.","C.J. Beathard","Beathard","16.39600067138672","5","6000","CAR@SF","SF","CAR","","","","",""
"","","","","","","","","","","39577-52606:David Blough","39577-52606","QB","David","David Blough","Blough","0","0","6000","NYG@DET","DET","NYG","","","","",""
"","","","","","","","","","","39577-103824:Easton Stick","39577-103824","QB","Easton","Easton Stick","Stick","0","0","6000","LAC@CHI","LAC","CHI","","","","",""
"","","","","","","","","","","39577-32158:Garrett Gilbert","39577-32158","QB","Garrett","Garrett Gilbert","Gilbert","0","1","6000","CLE@NE","CLE","NE","","","","",""
"","","","","","","","","","","39577-31170:Brandon Allen","39577-31170","QB","Brandon","Brandon Allen","Allen","0","0","6000","DEN@IND","DEN","IND","","","","",""
"","","","","","","","","","","39577-40407:Josh Dobbs","39577-40407","QB","Josh","Josh Dobbs","Dobbs","0.36400001049041747","5","6000","NYJ@JAC","JAC","NYJ","","","","",""
"","","","","","","","","","","39577-45565:Taysom Hill","39577-45565","QB","Taysom","Taysom Hill","Hill","3.817142759050642","7","6000","ARI@NO","NO","ARI","","","","",""
"","","","","","","","","","","39577-34308:Blake Bortles","39577-34308","QB","Blake","Blake Bortles","Bortles","14.170769324669472","13","6000","CIN@LAR","LAR","CIN","","","","",""
"","","","","","","","","","","39577-22027:Nick Foles","39577-22027","QB","Nick","Nick Foles","Foles","7","1","6000","NYJ@JAC","JAC","NYJ","IR","Collarbone","","",""
"","","","","","","","","","","39577-60947:Jarrett Stidham","39577-60947","QB","Jarrett","Jarrett Stidham","Stidham","-0.21333332856496176","3","6000","CLE@NE","NE","CLE","","","","",""
"","","","","","","","","","","39577-23075:Alex Tanney","39577-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","NYG@DET","NYG","DET","","","","",""
"","","","","","","","","","","39577-30253:Jeff Driskel","39577-30253","QB","Jeff","Jeff Driskel","Driskel","10.890000343322754","8","6000","NYG@DET","DET","NYG","","","","",""
"","","","","","","","","","","39577-64051:Drew Lock","39577-64051","QB","Drew","Drew Lock","Lock","0","0","6000","DEN@IND","DEN","IND","IR","Thumb","","",""
"","","","","","","","","","","39577-7744:Drew Stanton","39577-7744","QB","Drew","Drew Stanton","Stanton","0","0","6000","CLE@NE","CLE","NE","IR","Knee","","",""
"","","","","","","","","","","39577-41562:Nick Mullens","39577-41562","QB","Nick","Nick Mullens","Mullens","16.684999465942383","8","6000","CAR@SF","SF","CAR","","","","",""
"","","","","","","","","","","39577-8803:Chase Daniel","39577-8803","QB","Chase","Chase Daniel","Daniel","13.819999694824219","2","6000","LAC@CHI","CHI","LAC","","","","",""
"","","","","","","","","","","39577-6803:Josh McCown","39577-6803","QB","Josh","Josh McCown","McCown","0.3799999952316284","2","6000","PHI@BUF","PHI","BUF","","","","",""
"","","","","","","","","","","39577-6826:Eli Manning","39577-6826","QB","Eli","Eli Manning","Manning","13.520000457763672","2","6000","NYG@DET","NYG","DET","","","","",""
"","","","","","","","","","","39577-62133:Chase Litton","39577-62133","QB","Chase","Chase Litton","Litton","0","0","6000","NYJ@JAC","JAC","NYJ","","","","",""
"","","","","","","","","","","39577-7872:Brian Hoyer","39577-7872","QB","Brian","Brian Hoyer","Hoyer","-0.10399999618530273","5","6000","DEN@IND","IND","DEN","","","","",""
"","","","","","","","","","","39577-61157:Brett Rypien","39577-61157","QB","Brett","Brett Rypien","Rypien","0","0","6000","DEN@IND","DEN","IND","","","","",""
"","","","","","","","","","","39577-28434:Trevor Siemian","39577-28434","QB","Trevor","Trevor Siemian","Siemian","0.11999999731779099","1","6000","NYJ@JAC","NYJ","JAC","IR","Ankle","","",""
"","","","","","","","","","","39577-46866:Ryan Finley","39577-46866","QB","Ryan","Ryan Finley","Finley","0","0","6000","CIN@LAR","CIN","LAR","","","","",""
"","","","","","","","","","","39577-25410:Mike Glennon","39577-25410","QB","Mike","Mike Glennon","Glennon","5.440000057220459","1","6000","OAK@HOU","OAK","HOU","","","","",""
